Students	1300
283	156 157 371 201
284	369 252 293 137
285	96 133 23 401
286	89 370 346 147
287	134 288 453 24
288	147 174 337 157
289	447 295 209 150
290	303 162 472 331
291	263 279 81 312
292	12 87 283 63
293	221 439 99 480
294	210 461 238 149
295	474 445 44 45
296	56 480 31 388
297	467 443 294 110
298	76 38 351 280
299	465 214 178 312
300	238 363 306 329
301	421 184 429 291
302	119 338 298 95
303	300 459 340 401
304	331 186 148 14
305	406 15 312 186
306	405 5 69 168
307	199 418 144 151
308	220 91 228 94
309	420 190 156 297
310	64 496 116 421
311	176 467 47 452
312	132 61 212 55
313	407 101 308 402
314	227 439 88 365
315	350 197 462 387
316	33 175 24 290
317	339 329 464 65
318	201 498 495 42
319	349 333 239 142
320	499 299 497 88
321	333 94 18 389
322	42 131 116 378
323	370 163 446 445
324	56 173 4 319
325	196 370 295 349
326	294 267 36 309
327	72 287 32 404
328	47 465 302 233
329	373 497 69 137
330	298 43 389 130
331	116 103 64 239
332	264 2 445 391
333	433 301 355 77
334	101 368 435 177
335	276 83 365 57
336	163 11 241 406
337	318 320 123 306
338	100 197 296 65
339	179 4 497 396
340	144 322 361 254
341	245 370 192 35
342	217 54 244 314
343	359 449 160 435
344	463 106 320 90
345	242 328 189 325
346	491 426 89 344
347	429 484 206 356
348	9 372 190 70
349	441 96 73 454
350	112 302 342 434
351	308 71 95 3
352	266 28 374 367
353	380 377 46 59
354	262 427 361 46
355	388 229 70 438
356	486 111 178 104
357	1 414 289 108
358	108 374 70 446
359	353 250 211 316
360	372 215 9 323
361	116 331 191 109
362	205 20 342 278
363	281 485 67 102
364	55 285 4 288
365	318 30 406 67
366	283 399 58 18
367	215 371 332 26
368	324 485 232 94
369	241 88 359 166
370	104 98 276 176
371	112 309 128 227
372	169 223 365 3
373	406 426 453 19
374	499 2 475 384
375	178 1 38 472
376	244 373 106 365
377	151 128 317 42
378	431 472 425 58
379	278 493 328 440
380	213 71 407 251
381	156 405 151 481
382	340 116 286 68
383	472 230 461 401
384	323 37 131 42
385	157 349 353 231
386	172 441 162 456
387	347 66 177 252
388	139 41 448 339
389	95 230 261 238
390	101 315 439 411
391	439 321 493 3
392	44 240 368 188
393	54 225 420 373
394	97 270 394 282
395	191 63 140 423
396	184 237 451 246
397	481 89 472 308
398	94 310 168 73
399	458 447 67 182
400	213 342 336 123
401	290 397 329 44
402	161 25 310 480
403	278 51 247 461
404	274 138 400 275
405	104 124 465 363
406	198 415 257 141
407	162 298 182 98
408	306 79 421 441
409	472 443 248 113
410	276 480 209 409
411	369 135 87 12
412	376 478 312 243
413	69 257 399 339
414	422 222 498 92
415	182 316 407 211
416	375 359 57 192
417	475 86 241 425
418	213 373 167 194
419	378 219 393 376
420	25 279 146 470
421	286 85 74 3
422	212 241 115 359
423	181 285 127 88
424	275 342 421 482
425	394 72 108 56
426	383 241 269 314
427	132 255 2 418
428	303 279 348 299
429	448 68 13 210
430	258 251 383 246
431	412 52 269 222
432	446 37 399 236
433	92 495 281 391
434	239 103 184 167
435	301 235 421 99
436	5 20 298 421
437	215 285 222 108
438	63 117 211 454
439	69 111 272 103
440	24 179 68 381
441	92 288 10 267
442	63 220 316 362
443	224 189 254 411
444	235 325 391 224
445	375 487 373 43
446	3 316 426 454
447	163 312 37 308
448	499 130 445 194
449	70 157 97 452
450	371 200 282 489
451	402 407 242 428
452	206 432 14 448
453	226 219 160 413
454	148 429 9 468
455	187 427 115 348
456	204 58 253 60
457	188 192 443 184
458	203 191 474 123
459	397 175 164 257
460	471 31 169 368
461	427 232 78 211
462	75 344 43 302
463	311 351 387 18
464	356 137 457 405
465	24 410 123 35
466	35 406 448 295
467	385 242 348 111
468	342 444 483 284
469	73 470 376 25
470	446 423 110 280
471	361 159 469 16
472	417 24 317 39
473	349 479 276 353
474	69 244 397 206
475	122 287 46 277
476	252 208 360 33
477	233 348 440 226
478	73 381 398 35
479	333 293 114 66
480	20 366 205 170
481	1 379 40 22
482	151 239 451 408
483	67 130 415 215
484	308 314 34 219
485	95 336 115 250
486	129 257 404 185
487	107 343 307 207
488	74 445 327 100
489	231 280 290 67
490	111 58 218 414
491	432 368 37 279
492	339 255 10 315
493	403 293 254 73
494	329 468 170 168
495	38 69 181 234
496	128 419 453 364
497	79 370 428 460
498	136 192 113 279
499	148 27 131 276
500	229 373 391 240
501	130 349 254 24
502	412 458 418 441
503	149 451 92 187
504	157 185 419 266
505	329 276 456 133
506	125 150 347 298
507	467 45 156 371
508	489 63 243 65
509	312 425 254 46
510	308 229 236 210
511	281 238 69 167
512	44 371 193 293
513	143 179 192 471
514	222 168 55 383
515	498 33 189 406
516	19 442 373 367
517	231 67 355 382
518	144 236 21 159
519	86 348 189 283
520	305 83 436 43
521	497 409 373 243
522	302 123 75 385
523	449 353 241 242
524	345 330 118 341
525	287 127 241 401
526	143 472 144 415
527	168 432 10 219
528	495 78 254 421
529	178 417 99 35
530	202 68 260 418
531	56 19 416 192
532	12 403 160 143
533	431 95 256 194
534	4 8 208 287
535	102 182 265 106
536	385 456 375 185
537	468 51 350 40
538	337 8 84 497
539	465 452 403 366
540	486 371 193 403
541	379 176 154 475
542	238 172 48 68
543	111 69 462 177
544	126 488 79 244
545	380 325 49 377
546	493 281 368 61
547	415 400 420 498
548	247 455 209 26
549	238 422 320 404
550	80 71 495 354
551	85 373 448 474
552	278 495 323 277
553	319 348 151 457
554	345 340 430 296
555	121 184 191 74
556	20 130 206 304
557	154 481 219 497
558	381 88 41 479
559	328 444 190 298
560	130 434 184 453
561	296 106 277 294
562	301 471 62 419
563	216 297 264 330
564	34 101 216 85
565	367 266 461 37
566	277 234 98 186
567	175 98 406 364
568	196 318 409 176
569	228 454 463 342
570	300 432 47 207
571	414 381 420 457
572	274 74 479 20
573	344 178 332 320
574	259 382 483 49
575	300 433 111 391
576	310 134 238 205
577	35 39 299 5
578	72 381 186 136
579	340 447 499 142
580	245 61 359 87
581	413 109 145 50
582	193 399 113 462
583	192 344 126 187
584	177 266 278 175
585	463 499 249 236
586	485 29 224 18
587	205 471 162 7
588	368 224 221 417
589	323 151 89 454
590	45 139 234 229
591	106 22 153 253
592	191 78 459 40
593	447 492 91 467
594	208 279 438 374
595	102 131 343 197
596	274 17 40 179
597	483 247 330 347
598	64 30 430 38
599	258 235 173 171
600	266 415 345 210
601	280 283 245 139
602	472 87 130 311
603	162 426 146 375
604	244 355 472 269
605	118 38 117 425
606	164 26 166 48
607	4 105 397 10
608	438 271 37 112
609	324 162 217 58
610	147 301 288 135
611	317 434 420 357
612	34 93 151 61
613	104 161 135 8
614	270 152 116 344
615	256 148 35 13
616	484 374 419 434
617	27 435 427 343
618	405 236 141 460
619	428 449 288 158
620	345 30 453 457
621	222 243 366 8
622	358 409 23 15
623	381 327 136 307
624	306 431 9 301
625	483 234 161 217
626	212 218 381 66
627	25 255 351 180
628	191 210 486 500
629	91 339 196 345
630	461 281 341 99
631	342 362 235 386
632	339 295 145 133
633	295 399 379 401
634	365 297 245 406
635	286 344 306 404
636	267 41 289 20
637	76 30 91 372
638	94 413 145 321
639	50 64 125 219
640	301 270 435 483
641	185 273 217 75
642	339 53 393 347
643	421 472 141 29
644	55 276 459 38
645	231 150 68 307
646	479 428 149 77
647	345 84 63 472
648	3 70 268 192
649	39 399 108 87
650	331 390 100 176
651	161 188 156 372
652	324 362 452 344
653	19 87 161 269
654	190 418 107 300
655	446 78 218 473
656	100 196 149 454
657	200 342 55 356
658	26 475 477 457
659	441 168 479 428
660	185 351 364 436
661	321 235 94 373
662	27 30 434 185
663	152 52 170 418
664	252 340 140 240
665	371 445 418 256
666	292 166 484 35
667	335 213 91 464
668	114 19 81 157
669	111 471 417 368
670	105 337 6 10
671	214 216 179 67
672	88 403 360 66
673	216 301 472 341
674	348 428 497 190
675	378 347 167 480
676	252 425 484 418
677	332 28 462 120
678	235 431 70 436
679	460 261 66 1
680	106 10 185 401
681	424 89 62 147
682	167 162 373 160
683	295 359 322 331
684	240 440 457 352
685	465 364 4 303
686	155 48 275 303
687	420 217 131 153
688	260 122 375 112
689	98 46 92 324
690	349 191 256 264
691	347 24 7 220
692	350 4 446 124
693	52 294 389 32
694	365 475 68 156
695	220 111 341 348
696	446 490 387 225
697	220 310 106 351
698	224 157 379 398
699	67 270 300 357
700	157 346 334 188
701	409 112 377 217
702	312 495 210 261
703	471 202 41 118
704	166 208 117 217
705	430 392 197 78
706	443 69 113 133
707	138 37 354 487
708	495 427 365 195
709	288 473 442 361
710	186 112 168 358
711	438 22 448 31
712	102 111 322 124
713	384 24 17 348
714	283 264 499 181
715	144 66 245 83
716	464 356 381 342
717	244 273 290 70
718	63 305 115 395
719	199 485 160 287
720	356 268 479 180
721	435 139 113 450
722	441 30 42 467
723	467 389 462 410
724	220 23 108 388
725	437 282 336 11
726	153 78 308 3
727	79 310 452 333
728	108 318 322 272
729	377 221 361 156
730	55 129 480 66
731	57 250 310 251
732	312 205 258 92
733	140 282 401 82
734	405 25 80 459
735	83 7 88 248
736	443 411 307 430
737	24 282 231 78
738	197 482 313 250
739	349 215 452 14
740	305 394 178 326
741	193 448 360 31
742	210 196 205 380
743	97 181 411 139
744	84 483 268 126
745	351 226 142 119
746	102 267 316 397
747	54 232 361 483
748	446 94 314 116
749	147 245 16 288
750	460 485 380 406
751	92 396 463 311
752	304 135 496 115
753	464 327 153 238
754	374 163 300 11
755	93 367 413 462
756	122 335 225 355
757	370 62 426 244
758	215 302 75 118
759	91 354 373 452
760	243 353 7 79
761	136 91 249 311
762	418 19 367 100
763	412 488 387 68
764	361 165 408 431
765	333 359 448 237
766	214 287 5 448
767	148 147 278 84
768	396 326 230 315
769	172 245 455 310
770	350 164 409 173
771	430 135 117 406
772	115 358 178 46
773	356 62 244 497
774	498 296 468 316
775	81 307 10 35
776	20 110 392 230
777	343 101 44 69
778	141 137 102 90
779	376 331 34 395
780	97 94 357 441
781	49 456 2 293
782	384 423 306 260
783	223 437 319 176
784	198 388 325 375
785	140 46 82 376
786	234 72 141 31
787	258 83 371 480
788	397 360 12 308
789	191 338 118 36
790	38 315 232 303
791	420 146 365 176
792	331 70 452 285
793	104 415 62 149
794	388 487 474 317
795	219 318 262 494
796	147 321 11 119
797	321 166 90 84
798	410 7 275 298
799	53 233 25 283
800	499 215 368 476
801	480 369 436 12
802	241 272 354 20
803	16 487 404 474
804	410 126 131 263
805	463 376 7 264
806	43 100 21 314
807	106 232 78 454
808	493 176 83 422
809	328 344 5 212
810	386 407 428 425
811	275 130 209 495
812	392 449 315 360
813	219 466 56 68
814	142 442 241 484
815	458 212 356 10
816	490 54 182 75
817	359 177 253 326
818	188 158 114 198
819	72 374 222 100
820	151 358 456 141
821	50 414 82 484
822	128 408 33 485
823	171 159 379 34
824	31 440 238 158
825	158 393 202 187
826	54 423 55 5
827	455 205 499 281
828	437 300 183 203
829	355 87 168 212
830	410 404 70 433
831	468 315 254 343
832	349 446 231 418
833	7 171 324 362
834	112 169 335 437
835	435 264 161 248
836	346 118 164 23
837	229 372 209 440
838	237 427 158 449
839	318 74 289 215
840	291 38 422 142
841	256 254 443 120
842	204 380 233 428
843	309 97 356 87
844	263 195 237 479
845	374 102 200 141
846	486 475 255 66
847	402 371 294 349
848	296 291 488 337
849	202 472 380 38
850	246 71 298 176
851	58 115 211 31
852	149 198 313 261
853	436 484 485 235
854	331 226 416 394
855	37 359 397 27
856	357 257 397 145
857	220 226 384 242
858	348 436 187 393
859	112 353 348 83
860	336 32 293 300
861	463 194 88 371
862	461 83 115 334
863	204 253 496 307
864	292 462 317 50
865	336 67 354 88
866	84 8 125 218
867	292 257 326 304
868	412 301 323 258
869	259 160 385 480
870	285 465 326 105
871	119 370 115 460
872	162 341 7 285
873	160 128 375 106
874	97 246 480 395
875	44 321 392 359
876	196 468 247 178
877	162 15 336 265
878	62 100 16 11
879	8 296 390 456
880	8 253 158 459
881	487 369 251 377
882	437 194 49 428
883	239 272 328 237
884	96 388 103 50
885	10 263 250 256
886	155 6 1 147
887	405 351 48 216
888	18 400 92 454
889	479 209 101 217
890	224 138 26 290
891	75 140 103 277
892	340 222 73 489
893	91 41 458 47
894	398 180 80 181
895	476 323 51 458
896	132 298 277 438
897	194 496 422 31
898	52 385 109 330
899	130 217 321 406
900	256 35 385 157
901	52 349 86 320
902	350 18 425 442
903	118 218 152 395
904	326 55 421 265
905	195 47 388 68
906	390 395 495 113
907	317 164 206 349
908	374 301 401 196
909	30 473 186 395
910	157 227 484 78
911	83 284 126 25
912	324 185 379 497
913	6 24 125 336
914	224 28 1 448
915	494 7 380 60
916	68 99 167 402
917	238 376 470 78
918	284 467 147 20
919	376 42 409 263
920	496 229 142 303
921	145 391 215 427
922	196 152 77 364
923	465 272 181 128
924	18 222 147 412
925	262 277 397 22
926	375 489 410 22
927	182 94 406 179
928	189 423 145 484
929	6 199 176 500
930	482 361 451 267
931	137 23 275 398
932	218 462 412 135
933	335 206 360 390
934	466 498 314 7
935	66 440 216 70
936	232 165 143 383
937	319 447 176 171
938	173 56 160 39
939	80 32 302 64
940	302 321 26 192
941	304 244 233 39
942	335 10 383 480
943	195 75 21 132
944	384 28 413 408
945	453 284 218 58
946	391 137 214 329
947	232 349 322 485
948	413 395 374 97
949	77 232 16 492
950	208 443 325 253
951	346 89 390 487
952	452 77 30 443
953	309 279 61 244
954	405 56 147 279
955	5 8 296 472
956	392 179 193 454
957	272 179 338 445
958	92 195 244 243
959	426 45 254 286
960	349 231 462 386
961	46 30 115 385
962	488 481 199 444
963	46 131 358 288
964	13 51 49 394
965	335 125 59 51
966	471 456 109 74
967	277 370 293 178
968	330 425 239 53
969	396 347 67 238
970	272 321 388 148
971	391 174 134 133
972	33 177 7 20
973	369 212 229 243
974	127 10 237 246
975	3 14 490 363
976	158 319 442 224
977	322 269 482 342
978	339 364 214 31
979	278 61 343 333
980	293 87 255 105
981	421 210 147 338
982	323 270 30 125
983	71 131 98 492
984	460 311 268 52
985	254 160 135 104
986	319 275 245 37
987	357 468 444 16
988	127 181 419 286
989	493 241 279 174
990	117 301 230 490
991	441 18 281 165
992	500 93 414 110
993	173 133 323 51
994	219 206 344 86
995	41 489 79 493
996	329 402 330 16
997	6 470 274 31
998	29 80 421 399
999	470 83 163 275
1000	149 7 35 309
1001	277 58 403 480
1002	253 266 274 193
1003	278 459 45 126
1004	427 341 485 14
1005	480 490 339 85
1006	343 240 56 113
1007	335 69 44 445
1008	279 455 23 444
1009	487 397 309 281
1010	419 103 444 270
1011	449 154 68 399
1012	8 460 471 176
1013	168 208 142 264
1014	53 231 344 247
1015	309 40 316 336
1016	101 359 116 39
1017	120 298 151 60
1018	350 37 370 189
1019	148 111 478 360
1020	28 11 252 457
1021	198 478 414 210
1022	396 479 63 172
1023	235 376 420 350
1024	122 290 285 417
1025	451 173 479 181
1026	178 269 124 342
1027	49 480 474 160
1028	19 133 357 101
1029	100 35 66 453
1030	459 313 116 338
1031	412 107 414 127
1032	269 71 194 371
1033	195 240 131 251
1034	212 41 107 322
1035	390 461 194 477
1036	381 310 377 337
1037	435 345 307 402
1038	431 290 416 270
1039	343 498 394 367
1040	459 37 425 275
1041	392 232 404 254
1042	60 217 409 131
1043	402 259 96 324
1044	272 211 208 338
1045	467 340 259 232
1046	431 324 442 89
1047	278 323 67 468
1048	181 244 331 71
1049	58 478 372 231
1050	200 296 130 263
1051	438 470 228 25
1052	495 93 263 427
1053	36 164 357 155
1054	419 18 304 347
1055	309 327 14 264
1056	441 430 92 50
1057	246 34 406 72
1058	484 207 75 272
1059	286 345 380 129
1060	69 136 437 253
1061	380 14 39 38
1062	348 253 124 134
1063	465 110 293 434
1064	16 53 149 228
1065	194 52 92 294
1066	494 1 384 234
1067	120 103 211 142
1068	220 488 75 166
1069	166 347 464 160
1070	296 281 478 209
1071	90 167 151 359
1072	243 148 270 50
1073	306 129 315 70
1074	21 172 348 359
1075	356 24 92 305
1076	43 253 190 71
1077	480 177 12 322
1078	344 83 158 404
1079	224 359 67 144
1080	119 257 486 186
1081	203 374 240 244
1082	392 358 179 6
1083	134 86 427 184
1084	95 174 186 484
1085	9 236 326 88
1086	427 243 491 63
1087	265 30 403 84
1088	445 182 155 169
1089	111 468 464 106
1090	425 188 446 347
1091	209 402 184 319
1092	153 266 330 53
1093	195 234 124 386
1094	438 64 479 245
1095	137 62 391 304
1096	269 307 409 116
1097	330 439 70 137
1098	227 4 474 430
1099	470 185 410 171
1100	404 145 225 294
1101	79 469 55 239
1102	302 216 4 460
1103	234 77 224 337
1104	376 251 222 285
1105	30 425 335 25
1106	116 222 417 396
1107	365 11 454 135
1108	300 308 40 290
1109	110 51 334 350
1110	297 121 337 177
1111	381 68 487 375
1112	81 80 354 228
1113	127 159 356 152
1114	403 76 278 94
1115	458 123 169 357
1116	350 103 237 99
1117	157 469 412 322
1118	357 370 225 358
1119	54 189 182 463
1120	68 353 431 272
1121	489 440 325 340
1122	279 500 111 345
1123	382 25 331 100
1124	71 152 55 130
1125	471 264 422 236
1126	115 381 286 268
1127	126 465 110 362
1128	29 234 387 97
1129	228 324 220 85
1130	67 392 175 111
1131	439 117 32 432
1132	369 470 486 230
1133	358 61 173 353
1134	425 80 466 312
1135	383 162 333 357
1136	349 429 49 146
1137	311 297 145 37
1138	89 12 263 307
1139	87 119 287 453
1140	103 29 19 229
1141	307 198 409 184
1142	126 333 314 141
1143	44 83 493 232
1144	96 193 89 124
1145	262 182 90 471
1146	388 268 482 24
1147	68 41 122 344
1148	53 25 368 210
1149	316 212 117 180
1150	296 392 324 291
1151	67 21 227 191
1152	50 163 102 335
1153	186 16 337 8
1154	67 133 213 389
1155	437 438 371 460
1156	82 84 465 224
1157	185 428 109 289
1158	233 101 85 95
1159	454 131 415 453
1160	45 257 70 110
1161	381 157 284 324
1162	482 450 21 341
1163	226 211 456 243
1164	207 172 453 239
1165	498 400 140 137
1166	425 112 497 116
1167	340 469 41 274
1168	343 401 444 67
1169	268 377 421 109
1170	55 371 244 41
1171	5 199 373 176
1172	355 452 422 31
1173	81 455 309 68
1174	266 356 310 362
1175	87 448 387 165
1176	322 329 107 465
1177	417 174 217 13
1178	443 177 27 196
1179	79 303 166 58
1180	33 329 159 306
1181	141 98 493 317
1182	243 29 212 24
1183	153 455 329 24
1184	202 198 464 393
1185	389 67 165 342
1186	320 240 48 25
1187	88 417 106 328
1188	177 458 143 271
1189	384 7 66 42
1190	371 338 246 484
1191	476 389 467 77
1192	281 406 42 166
1193	123 234 249 15
1194	364 173 128 241
1195	384 349 195 428
1196	437 41 426 316
1197	396 148 476 109
1198	253 285 360 127
1199	364 404 76 490
1200	483 406 327 408
1201	453 479 162 276
1202	262 316 9 444
1203	254 316 328 75
1204	449 463 317 19
1205	470 139 454 12
1206	19 317 313 476
1207	327 241 337 313
1208	428 487 84 292
1209	445 65 212 375
1210	418 223 492 76
1211	79 38 354 423
1212	106 211 1 116
1213	240 285 55 376
1214	184 307 392 132
1215	341 9 170 363
1216	320 116 178 475
1217	436 407 342 86
1218	456 295 150 495
1219	224 406 341 237
1220	283 473 200 440
1221	32 109 108 376
1222	360 142 399 287
1223	306 171 162 143
1224	197 314 360 339
1225	410 291 51 170
1226	311 496 122 357
1227	302 484 229 373
1228	382 309 468 296
1229	404 333 93 103
1230	454 249 493 231
1231	107 204 141 34
1232	136 131 141 174
1233	415 358 418 240
1234	429 158 88 147
1235	178 371 154 183
1236	170 268 303 401
1237	176 330 289 300
1238	494 453 287 203
1239	46 452 282 86
1240	351 132 493 97
1241	147 454 462 436
1242	342 352 132 444
1243	468 352 424 98
1244	34 113 71 441
1245	69 204 318 392
1246	418 488 314 149
1247	316 317 202 334
1248	366 387 46 333
1249	374 422 481 2
1250	216 323 54 165
1251	446 496 319 396
1252	92 384 366 28
1253	232 54 282 122
1254	124 299 297 295
1255	407 36 382 64
1256	489 453 154 62
1257	162 245 80 207
1258	23 68 252 362
1259	471 239 256 211
1260	400 462 382 265
1261	77 72 373 466
1262	283 435 176 106
1263	388 134 410 426
1264	187 295 253 243
1265	433 321 401 411
1266	56 492 301 123
1267	29 132 59 272
1268	204 219 118 11
1269	43 415 272 55
1270	305 221 82 347
1271	78 369 13 265
1272	157 50 217 309
1273	401 223 455 11
1274	351 318 87 323
1275	269 73 156 437
1276	241 199 392 393
1277	398 402 278 129
1278	240 11 174 147
1279	67 414 14 87
1280	384 411 148 445
1281	93 387 338 431
1282	388 358 80 165
1283	327 379 382 171
1284	484 230 139 29
1285	220 256 56 240
1286	292 126 8 403
1287	64 125 106 460
1288	173 169 388 490
1289	100 466 74 195
1290	143 274 344 218
1291	348 377 52 260
1292	281 179 380 308
1293	84 339 3 336
1294	211 233 268 469
1295	53 422 51 283
1296	133 169 40 22
1297	265 337 364 462
1298	100 401 54 119
1299	451 179 91 158
1300	181 411 184 134
