Students	1500
377	197 218 306 417
378	558 356 250 567
379	408 79 132 146
380	178 437 417 248
381	259 161 503 181
382	571 284 226 256
383	302 268 13 158
384	73 557 186 298
385	37 311 347 67
386	100 226 258 298
387	582 62 288 502
388	102 441 147 592
389	65 498 266 473
390	446 539 238 441
391	585 379 245 240
392	41 549 275 490
393	457 115 28 219
394	418 31 475 54
395	426 158 170 19
396	444 15 438 589
397	102 543 586 275
398	218 242 186 55
399	133 476 18 181
400	219 585 312 122
401	72 425 431 292
402	489 76 198 589
403	66 563 259 220
404	200 407 474 482
405	199 515 497 558
406	366 229 80 515
407	389 96 131 269
408	134 188 73 567
409	154 152 592 511
410	346 396 497 72
411	469 105 46 20
412	73 2 436 409
413	286 564 509 124
414	331 30 86 486
415	458 372 68 282
416	496 556 98 323
417	42 377 488 409
418	149 316 352 392
419	243 362 323 491
420	440 98 509 317
421	336 10 76 50
422	406 433 391 517
423	117 64 354 42
424	277 476 420 489
425	184 45 571 302
426	479 487 23 6
427	443 282 581 90
428	307 31 292 280
429	275 362 171 477
430	200 266 53 352
431	187 252 179 315
432	339 437 587 496
433	397 547 56 542
434	506 548 588 274
435	224 235 436 547
436	563 119 308 173
437	442 440 230 557
438	322 527 13 546
439	595 194 405 562
440	164 246 36 353
441	440 96 234 580
442	202 275 214 191
443	113 362 150 323
444	208 373 555 398
445	82 260 162 239
446	296 371 148 293
447	57 569 398 264
448	318 130 170 495
449	565 28 526 398
450	112 124 357 103
451	407 260 459 210
452	424 322 418 262
453	124 381 349 268
454	458 38 159 361
455	597 23 591 183
456	441 299 494 566
457	193 595 565 302
458	224 473 14 173
459	185 520 47 283
460	148 346 436 220
461	202 69 403 33
462	554 241 393 481
463	320 322 171 550
464	474 592 302 373
465	572 238 427 547
466	304 186 45 317
467	442 323 476 115
468	387 82 89 164
469	17 236 227 461
470	427 206 308 393
471	398 340 388 457
472	485 426 525 367
473	407 473 509 199
474	293 459 37 504
475	306 50 261 341
476	565 559 182 74
477	204 267 299 138
478	273 300 111 208
479	254 398 272 187
480	205 512 137 455
481	232 432 497 506
482	496 7 588 354
483	264 511 97 124
484	111 457 538 352
485	82 236 595 310
486	221 339 164 218
487	509 358 56 183
488	361 11 598 427
489	222 537 114 485
490	26 476 514 133
491	108 291 358 398
492	215 555 475 332
493	403 418 242 427
494	140 485 264 455
495	197 13 544 111
496	263 51 518 144
497	19 155 14 447
498	183 76 456 292
499	517 147 3 21
500	496 590 57 580
501	194 600 164 574
502	209 292 301 544
503	341 394 170 482
504	355 361 584 549
505	584 500 545 484
506	496 325 377 406
507	544 598 4 183
508	148 131 237 316
509	247 90 391 306
510	450 134 245 7
511	272 383 33 315
512	459 298 7 103
513	317 219 119 107
514	532 76 185 461
515	448 152 301 270
516	482 469 74 517
517	552 244 416 445
518	242 373 90 88
519	495 554 94 3
520	13 370 429 157
521	331 47 398 501
522	298 391 201 497
523	453 80 217 523
524	43 565 473 191
525	460 492 184 344
526	129 453 513 600
527	388 140 351 143
528	66 402 197 61
529	459 362 211 208
530	551 99 71 597
531	566 166 383 461
532	535 335 312 446
533	573 588 532 47
534	59 12 465 313
535	1 208 323 178
536	477 360 48 311
537	491 325 505 348
538	298 19 55 422
539	129 453 202 47
540	209 206 498 273
541	113 159 23 558
542	453 87 330 247
543	138 448 274 352
544	62 517 507 41
545	49 323 12 16
546	17 21 426 355
547	596 346 205 102
548	554 174 494 17
549	286 498 20 440
550	166 293 328 348
551	402 64 276 59
552	11 76 311 554
553	411 181 530 158
554	121 597 454 367
555	421 169 589 467
556	198 454 215 240
557	131 485 339 441
558	16 67 468 13
559	304 76 398 103
560	43 523 364 194
561	170 67 509 22
562	340 254 302 492
563	370 86 447 428
564	312 431 410 473
565	177 142 154 252
566	198 88 551 394
567	146 134 547 151
568	234 243 308 50
569	47 174 54 292
570	338 436 111 220
571	344 282 377 482
572	220 399 3 564
573	375 122 269 283
574	287 569 521 354
575	168 333 231 94
576	385 473 20 414
577	336 94 239 590
578	65 258 193 102
579	29 293 390 364
580	311 404 320 101
581	436 434 448 373
582	304 313 270 196
583	67 547 369 212
584	256 98 339 265
585	300 562 31 66
586	134 568 217 475
587	53 206 589 219
588	563 80 287 445
589	459 499 509 529
590	181 449 380 255
591	376 561 233 433
592	352 2 311 101
593	403 101 127 155
594	129 221 98 595
595	373 413 148 436
596	368 378 301 31
597	347 238 80 383
598	291 534 532 56
599	24 120 30 206
600	561 458 256 8
601	493 34 203 218
602	544 487 481 289
603	368 219 273 423
604	564 300 72 80
605	123 99 312 90
606	369 524 47 129
607	549 378 414 465
608	555 270 172 468
609	220 190 71 163
610	257 469 128 225
611	360 416 46 242
612	170 317 351 583
613	235 311 63 537
614	111 525 289 203
615	491 467 443 204
616	440 353 347 212
617	204 593 257 131
618	25 46 103 486
619	47 512 462 594
620	132 192 414 88
621	350 278 34 198
622	548 402 208 53
623	46 264 268 551
624	164 68 305 404
625	40 429 477 574
626	321 440 59 174
627	157 520 149 259
628	567 497 40 169
629	555 201 171 297
630	508 174 341 313
631	92 73 459 441
632	378 396 577 476
633	49 599 538 600
634	390 299 115 113
635	416 400 474 282
636	220 325 248 487
637	432 439 233 16
638	453 266 553 564
639	78 510 71 396
640	261 464 388 289
641	472 560 343 302
642	42 204 246 580
643	138 471 541 216
644	219 498 113 341
645	542 96 211 17
646	201 141 235 372
647	488 505 339 310
648	386 311 577 549
649	208 545 510 159
650	278 297 458 344
651	536 69 368 520
652	443 572 163 411
653	592 553 319 198
654	423 402 46 4
655	566 303 520 524
656	155 7 39 551
657	190 464 301 216
658	39 329 276 319
659	37 172 557 1
660	192 140 39 187
661	599 421 243 376
662	428 263 108 498
663	15 180 565 520
664	284 210 386 167
665	311 597 366 545
666	191 30 218 137
667	334 82 549 19
668	457 525 334 391
669	548 235 350 594
670	319 289 346 408
671	158 568 127 304
672	441 276 536 379
673	387 164 396 280
674	37 102 178 531
675	42 461 563 132
676	308 574 511 486
677	41 383 360 161
678	37 513 281 305
679	72 283 211 598
680	141 214 131 239
681	67 79 388 327
682	464 526 405 438
683	276 435 323 505
684	273 51 389 578
685	39 362 582 511
686	385 221 373 351
687	588 364 558 331
688	203 182 71 185
689	382 590 424 456
690	216 100 579 507
691	251 442 279 565
692	437 116 103 203
693	394 272 5 200
694	326 305 408 226
695	257 28 262 138
696	252 235 477 584
697	43 104 459 68
698	599 490 291 136
699	592 357 200 210
700	132 13 43 311
701	84 46 564 320
702	469 95 36 537
703	390 18 130 151
704	381 16 574 18
705	576 289 420 542
706	316 107 14 313
707	269 359 267 147
708	439 465 335 431
709	307 449 247 431
710	352 564 575 256
711	479 474 206 75
712	495 206 216 200
713	365 323 454 537
714	302 487 572 49
715	66 147 110 528
716	126 473 249 211
717	362 192 215 583
718	142 493 546 159
719	223 46 338 76
720	251 268 519 157
721	80 91 176 90
722	184 181 573 159
723	429 555 522 300
724	307 280 119 370
725	232 209 214 70
726	472 100 168 76
727	116 599 90 318
728	406 564 185 370
729	264 596 557 292
730	159 180 588 278
731	274 399 116 578
732	578 440 441 16
733	412 301 322 421
734	7 380 524 165
735	72 594 520 209
736	495 191 439 358
737	70 203 174 505
738	89 549 2 338
739	420 18 2 597
740	266 159 573 217
741	266 226 355 31
742	546 229 490 440
743	148 544 206 370
744	595 144 557 287
745	201 328 464 325
746	172 512 137 47
747	37 4 213 142
748	184 372 350 287
749	155 419 355 227
750	382 578 24 514
751	58 485 561 131
752	388 52 296 63
753	412 514 433 299
754	45 318 280 432
755	578 108 178 279
756	283 500 397 61
757	399 187 398 413
758	422 177 415 316
759	383 96 344 84
760	278 128 557 372
761	7 110 442 274
762	6 315 436 490
763	160 336 550 299
764	106 584 226 72
765	375 259 29 3
766	588 130 4 262
767	406 546 80 384
768	52 252 191 560
769	411 266 371 477
770	460 523 287 72
771	307 333 87 166
772	531 83 425 513
773	440 397 31 218
774	577 74 69 10
775	40 583 475 515
776	185 74 50 258
777	530 540 261 228
778	480 395 73 274
779	153 346 480 365
780	515 259 234 496
781	403 173 214 83
782	507 115 166 274
783	173 360 538 205
784	96 442 166 250
785	190 15 129 573
786	597 295 82 448
787	598 486 244 63
788	529 224 420 303
789	214 204 134 89
790	519 404 51 202
791	520 93 503 1
792	241 455 581 479
793	569 228 465 361
794	506 159 261 532
795	132 364 149 467
796	399 172 325 330
797	195 548 43 44
798	262 469 49 238
799	82 462 256 593
800	563 40 114 303
801	98 16 109 444
802	394 467 235 2
803	7 25 111 499
804	229 76 225 24
805	509 168 561 401
806	344 394 201 532
807	518 242 163 600
808	383 552 562 92
809	560 563 193 106
810	189 404 44 333
811	475 59 435 63
812	534 167 260 112
813	148 151 176 170
814	53 549 272 31
815	117 478 399 310
816	33 97 447 263
817	265 567 78 430
818	30 131 101 486
819	383 5 506 429
820	56 481 464 25
821	575 192 476 104
822	48 165 318 136
823	291 490 279 272
824	344 85 204 465
825	410 417 550 484
826	463 246 52 108
827	423 139 39 214
828	590 385 384 412
829	476 35 202 72
830	132 462 329 24
831	264 419 297 446
832	271 504 501 403
833	321 83 209 451
834	248 548 460 555
835	148 351 173 476
836	493 171 386 251
837	570 187 35 508
838	178 23 425 139
839	76 408 560 212
840	172 411 9 205
841	483 12 325 579
842	496 202 404 425
843	437 6 524 599
844	236 152 251 131
845	379 402 447 343
846	125 128 351 200
847	320 129 126 228
848	362 101 34 448
849	542 477 466 422
850	201 288 320 326
851	294 291 332 23
852	519 68 243 559
853	300 419 231 241
854	507 589 286 453
855	294 559 339 310
856	454 3 440 333
857	127 267 173 24
858	27 569 313 497
859	365 106 323 166
860	530 401 473 76
861	490 53 203 397
862	295 487 317 336
863	35 145 168 394
864	296 72 158 195
865	466 209 471 377
866	210 295 47 520
867	149 146 502 414
868	239 365 476 259
869	89 418 481 263
870	180 288 533 463
871	143 169 324 19
872	2 324 49 592
873	258 303 116 53
874	291 565 539 361
875	570 191 566 232
876	351 376 58 107
877	154 92 313 309
878	133 175 363 10
879	378 45 295 96
880	113 498 278 434
881	55 175 559 281
882	598 210 443 240
883	138 3 157 442
884	2 256 140 238
885	366 305 90 180
886	331 382 73 561
887	277 180 156 138
888	159 44 203 534
889	507 459 100 516
890	518 430 567 338
891	66 326 186 83
892	299 398 29 527
893	520 40 374 323
894	305 575 25 213
895	305 91 350 221
896	339 148 73 478
897	34 499 555 219
898	357 483 393 586
899	151 206 58 231
900	34 561 268 240
901	221 370 51 510
902	122 172 393 232
903	568 392 96 235
904	427 301 404 171
905	426 531 386 456
906	367 248 582 397
907	139 7 532 390
908	502 108 371 391
909	360 496 106 350
910	478 552 539 300
911	57 114 262 193
912	187 485 117 303
913	136 434 158 388
914	553 99 88 126
915	466 438 569 258
916	34 436 507 415
917	200 314 564 86
918	481 112 445 138
919	477 404 211 493
920	22 42 465 287
921	345 364 585 331
922	318 119 115 292
923	530 396 298 137
924	91 199 267 348
925	169 561 313 110
926	473 11 313 84
927	512 151 177 478
928	379 222 72 488
929	461 41 593 509
930	319 142 37 301
931	423 327 486 450
932	138 264 482 364
933	427 89 530 8
934	71 73 123 288
935	249 295 428 592
936	262 172 314 475
937	512 9 248 302
938	562 542 406 584
939	1 469 579 395
940	271 568 495 150
941	535 487 295 156
942	295 38 141 30
943	179 67 462 515
944	513 512 317 5
945	480 429 17 5
946	74 382 241 496
947	575 124 300 225
948	186 88 349 496
949	436 518 7 113
950	15 411 589 540
951	537 507 82 317
952	62 248 513 592
953	374 138 465 418
954	14 140 476 239
955	559 39 51 401
956	534 489 484 20
957	219 472 359 385
958	164 553 201 580
959	545 305 599 499
960	385 65 589 17
961	359 421 275 580
962	436 149 578 414
963	172 460 422 206
964	407 74 450 597
965	226 473 546 587
966	314 273 73 197
967	251 345 216 46
968	10 230 577 332
969	559 431 209 22
970	410 211 227 230
971	555 581 97 126
972	327 463 239 547
973	59 431 44 556
974	423 384 208 535
975	542 456 134 393
976	473 280 129 426
977	153 443 559 416
978	590 324 449 591
979	513 583 274 329
980	151 305 456 231
981	494 209 282 564
982	92 445 91 336
983	345 36 336 263
984	358 437 266 29
985	383 497 509 530
986	440 15 116 392
987	252 39 280 43
988	108 560 329 32
989	469 127 576 399
990	436 40 173 200
991	380 18 505 557
992	404 323 108 444
993	394 149 311 414
994	14 145 87 120
995	424 198 280 525
996	470 38 432 17
997	244 329 25 21
998	456 293 354 501
999	556 447 388 377
1000	208 102 284 511
1001	584 221 587 93
1002	600 305 308 455
1003	351 242 563 517
1004	152 106 248 373
1005	223 488 276 275
1006	223 523 570 455
1007	313 586 499 98
1008	9 123 109 100
1009	588 243 225 282
1010	322 500 360 384
1011	561 416 133 106
1012	552 248 451 533
1013	561 168 453 382
1014	373 531 183 449
1015	415 52 458 380
1016	51 576 252 32
1017	566 302 415 21
1018	596 223 166 512
1019	309 332 280 67
1020	518 392 21 274
1021	31 131 151 292
1022	2 426 69 118
1023	484 64 73 427
1024	235 264 371 539
1025	134 387 77 526
1026	348 5 538 491
1027	598 552 242 5
1028	158 100 480 104
1029	466 91 588 405
1030	481 88 515 284
1031	382 327 459 579
1032	353 182 429 343
1033	594 532 420 558
1034	493 364 291 439
1035	399 537 263 388
1036	572 315 164 18
1037	274 427 37 165
1038	473 369 11 49
1039	335 231 105 562
1040	4 215 589 277
1041	598 261 306 410
1042	369 233 401 80
1043	162 480 332 370
1044	427 175 413 547
1045	120 334 6 16
1046	458 326 52 141
1047	114 483 568 269
1048	294 34 581 325
1049	535 29 137 410
1050	228 576 513 72
1051	326 102 316 115
1052	462 581 595 376
1053	83 527 294 431
1054	269 396 34 217
1055	549 55 516 389
1056	422 320 56 5
1057	327 167 147 248
1058	489 294 111 462
1059	523 133 589 106
1060	23 438 254 454
1061	583 600 8 101
1062	137 405 564 21
1063	497 160 10 175
1064	247 389 204 568
1065	559 21 18 14
1066	453 313 428 124
1067	385 161 436 149
1068	339 247 286 474
1069	175 326 44 206
1070	140 513 455 500
1071	355 555 323 462
1072	140 332 363 341
1073	21 591 107 258
1074	364 564 220 519
1075	433 354 565 173
1076	427 167 447 41
1077	122 409 137 39
1078	171 600 342 373
1079	417 462 199 222
1080	217 167 94 293
1081	177 176 385 167
1082	546 344 87 256
1083	380 165 391 119
1084	329 28 78 12
1085	431 587 369 506
1086	98 182 589 452
1087	378 218 255 164
1088	462 500 441 332
1089	52 107 398 161
1090	282 566 42 552
1091	514 298 24 426
1092	589 421 566 131
1093	267 185 248 192
1094	452 371 400 430
1095	287 347 220 476
1096	224 204 466 436
1097	439 489 534 201
1098	364 401 241 306
1099	485 461 39 404
1100	56 337 234 425
1101	31 211 449 499
1102	306 364 234 408
1103	239 159 113 212
1104	408 402 159 308
1105	333 36 115 128
1106	592 597 360 274
1107	593 383 540 209
1108	126 69 545 100
1109	16 109 322 342
1110	476 177 25 294
1111	323 367 267 418
1112	240 67 429 272
1113	276 310 393 505
1114	342 592 325 451
1115	456 214 409 100
1116	115 87 551 201
1117	130 256 459 525
1118	321 309 95 344
1119	505 437 483 509
1120	323 332 469 85
1121	337 253 170 86
1122	81 510 296 558
1123	193 591 50 299
1124	266 358 258 164
1125	393 310 436 77
1126	458 444 282 169
1127	169 554 433 178
1128	272 413 3 196
1129	196 528 526 401
1130	552 548 201 335
1131	192 286 119 539
1132	92 441 19 543
1133	100 307 408 456
1134	283 497 560 87
1135	592 119 396 558
1136	235 439 103 318
1137	468 547 368 360
1138	507 443 324 537
1139	373 121 147 201
1140	149 38 459 220
1141	158 8 281 529
1142	199 82 466 343
1143	474 264 241 117
1144	597 101 493 447
1145	128 506 488 371
1146	506 531 245 140
1147	454 262 351 556
1148	342 306 225 391
1149	500 395 337 7
1150	459 334 29 272
1151	412 495 540 9
1152	167 7 219 402
1153	578 323 241 79
1154	472 494 33 247
1155	310 187 334 388
1156	470 236 262 39
1157	58 415 30 261
1158	505 552 100 127
1159	416 560 133 555
1160	349 51 207 592
1161	416 562 332 227
1162	305 288 389 4
1163	124 425 377 313
1164	303 385 516 581
1165	218 72 53 399
1166	331 191 589 455
1167	377 38 21 573
1168	596 495 193 127
1169	440 268 24 525
1170	255 560 244 422
1171	43 374 221 498
1172	84 479 171 202
1173	39 575 155 308
1174	546 482 494 535
1175	177 155 108 453
1176	451 57 530 346
1177	564 398 460 443
1178	150 455 510 198
1179	219 285 434 461
1180	577 172 504 364
1181	346 26 233 173
1182	242 596 45 367
1183	347 321 476 272
1184	64 321 172 282
1185	361 551 592 227
1186	188 307 475 48
1187	357 535 76 543
1188	267 472 195 197
1189	562 192 357 181
1190	37 441 520 571
1191	498 306 448 103
1192	546 141 557 527
1193	91 435 22 587
1194	513 368 243 253
1195	253 544 261 348
1196	503 327 68 415
1197	251 58 150 181
1198	377 293 130 534
1199	82 133 449 137
1200	598 164 405 159
1201	383 532 420 388
1202	504 153 51 425
1203	445 319 67 4
1204	197 358 245 94
1205	25 65 490 18
1206	31 471 559 419
1207	217 546 29 14
1208	288 189 130 362
1209	16 330 525 521
1210	490 298 584 152
1211	469 90 54 353
1212	254 456 318 177
1213	173 407 144 530
1214	355 249 8 147
1215	232 23 322 314
1216	221 484 287 75
1217	129 578 436 31
1218	302 580 550 392
1219	202 578 263 469
1220	234 216 315 4
1221	480 349 69 433
1222	599 56 384 70
1223	502 12 269 390
1224	260 7 305 17
1225	337 436 46 160
1226	417 250 213 516
1227	375 542 278 9
1228	386 454 198 333
1229	113 6 26 549
1230	583 327 323 399
1231	27 143 92 290
1232	101 556 426 50
1233	558 394 461 386
1234	65 449 52 516
1235	178 83 489 187
1236	537 461 439 529
1237	560 289 376 135
1238	13 358 471 286
1239	449 90 109 266
1240	455 192 88 475
1241	33 517 536 525
1242	533 176 437 32
1243	247 528 37 83
1244	347 283 370 423
1245	512 112 333 26
1246	139 464 312 452
1247	576 564 595 563
1248	350 250 229 336
1249	455 296 230 188
1250	145 507 196 454
1251	520 15 157 596
1252	29 520 20 549
1253	404 168 195 284
1254	244 535 68 58
1255	346 153 584 594
1256	440 416 225 253
1257	285 417 277 101
1258	438 570 402 238
1259	468 59 18 114
1260	20 564 333 447
1261	97 363 34 458
1262	70 100 134 121
1263	105 297 114 197
1264	21 187 563 472
1265	380 142 279 174
1266	416 568 453 502
1267	202 10 350 229
1268	525 359 262 135
1269	210 225 557 353
1270	86 189 186 586
1271	314 101 211 275
1272	70 405 134 441
1273	208 211 309 41
1274	199 160 565 234
1275	352 104 165 185
1276	18 586 46 257
1277	206 167 438 401
1278	483 101 33 325
1279	176 500 329 126
1280	587 376 464 201
1281	572 153 342 553
1282	552 283 170 582
1283	425 201 72 153
1284	201 377 166 600
1285	123 322 17 150
1286	419 171 129 405
1287	294 44 114 146
1288	351 456 378 302
1289	530 515 200 522
1290	404 345 316 549
1291	127 513 488 447
1292	335 62 487 282
1293	255 244 262 555
1294	186 41 242 84
1295	44 43 428 23
1296	585 219 583 539
1297	209 101 308 441
1298	455 50 172 581
1299	371 422 437 570
1300	419 231 469 510
1301	283 364 303 180
1302	27 533 176 261
1303	185 138 307 513
1304	243 306 497 209
1305	230 537 578 245
1306	566 189 546 550
1307	53 491 242 193
1308	344 439 173 12
1309	557 122 436 9
1310	80 425 449 273
1311	176 219 361 101
1312	594 448 193 192
1313	415 435 110 440
1314	238 279 299 237
1315	302 157 16 567
1316	100 222 534 238
1317	421 261 93 363
1318	564 429 223 333
1319	136 577 325 40
1320	229 560 585 547
1321	516 486 401 291
1322	77 554 373 206
1323	307 423 238 75
1324	145 355 224 231
1325	496 579 74 430
1326	102 269 600 321
1327	513 3 44 79
1328	575 427 339 532
1329	217 561 385 562
1330	349 209 115 379
1331	14 435 529 408
1332	446 429 191 73
1333	203 54 359 99
1334	274 568 359 12
1335	384 522 6 177
1336	20 53 16 151
1337	561 527 381 324
1338	514 595 13 203
1339	402 247 516 283
1340	263 252 577 598
1341	444 233 378 206
1342	517 227 61 462
1343	83 466 518 90
1344	356 396 545 510
1345	454 276 267 111
1346	56 470 342 115
1347	433 483 90 386
1348	216 591 526 277
1349	324 177 253 286
1350	453 416 404 226
1351	41 193 422 153
1352	21 577 525 306
1353	583 480 563 344
1354	293 397 200 405
1355	569 379 560 62
1356	295 527 554 377
1357	231 87 306 135
1358	359 465 529 536
1359	366 337 456 540
1360	268 267 463 128
1361	31 144 141 110
1362	275 400 267 170
